ITEM_ID,PRICE,CHANGED_DATE,PRICE_CHANGE_STATUS
1,9800,2023-01-18,DECREASED
1,9700,2023-02-12,DECREASED
1,9800,2023-03-07,INCREASED
1,9500,2023-04-15,DECREASED
1,9600,2023-05-20,INCREASED
1,9300,2023-06-09,DECREASED
1,9400,2023-07-25,INCREASED
1,9100,2023-08-14,DECREASED
2,10100,2023-01-20,INCREASED
2,9800,2023-02-10,DECREASED
2,9700,2023-03-05,DECREASED
2,9800,2023-04-12,INCREASED
2,9500,2023-05-18,DECREASED
2,9600,2023-06-08,INCREASED
2,9300,2023-07-24,DECREASED
2,9400,2023-08-13,INCREASED
3,16100,2023-01-22,INCREASED
3,15600,2023-02-11,DECREASED
3,15700,2023-03-06,INCREASED
3,15200,2023-04-14,DECREASED
3,15300,2023-05-19,INCREASED
3,14800,2023-06-10,DECREASED
3,14900,2023-07-23,INCREASED
3,14400,2023-08-12,DECREASED
